Message,Submitted By,Time,Reported Addresses/Domains
I did not approve for this sent,Submitted by Anonymous,5 hours ago,"Reported Address, 0xd0309aA1Cc51d0D35F4d66DC0927Ae0a83d1A8A2, Reported Domain, https://basescan.org/address/0x7961D6ecfe24fb76649B657023b1e35f6126be25"
"I've received threatening emails directed at my organization. They claim to have control of the domain and our systems, that they're going to compromise company data and damage our reputation.",Submitted by Anonymous,19 hours ago,"Reported Address, bc1q7j9tjdcf37q955wz7d6tfldc44pg38hy7kctd4, Reported Domain, https://zain.com/en, Reported Address, bc1q7j9tjdcf37q955wz7d6tfldc44pg38hy7kctd4, + 1 more"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,1 day ago,"Reported Address, 1FC5qGSpxXUF2qzhHm2VVHgzcxWFstPYr6"
How much USD/GBP/EUR worth of crypto have you invested/deposited/paid in total? --> €5631.27 in total,Submitted by Anonymous,1 day ago,"Reported Address, bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6, Reported Domain, http://solidusmarkets.co, Reported Domain, http://solidusmarkets.com"
How much USD/GBP/EUR worth of crypto have you invested/deposited/paid in total? --> €5631.27 in total,Submitted by Anonymous,1 day ago,"Reported Address, 1FF6rwK7pnNn4Cn8wkvd7SCimpEP6SuKzE, Reported Domain, https://solidusmarkets.co"
"I was not scammed, but someone was. The wallet has 1300$, which is around the exact armount the person was trying to get from me.",Submitted by Anonymous,1 day ago,"Reported Address, bc1qumzf4f0gf9am58ara69lpjvnmt9sphfxmqjqu3, Reported Address, bc1q3dsdgnx39y4j30e4t98u9aqxjlx0je43czztw9"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,2 days ago,"Reported Address, 1FC5qGSpxXUF2qzhHm2VVHgzcxWFstPYr6"
"The person who made initial contact via phone identified himself as ""Jake Goldberg"" and in his E-Mail claims to be from profitmasters.io it can be more likely that the scammers got my details from any page related to profitmasters.io",Submitted by Anonymous,2 days ago,"Reported Address, bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6, Reported Domain, https://solidusmarkets.co"
"He went online, dmed me, and promised things, and funds if I would help him fund the coin/token, I added money and he made it to where there was no liquidity so that he could scam others.",Submitted by Anonymous,3 days ago,"Reported Domain, https://clipthat.fun/"
Email came from my own address,Submitted by Anonymous,3 days ago,"Reported Address, 12CXxgEyFnbyqyJCDXpqsa7BnrCrbzYbsf"
Someone contacto me saying they recoveres my funds lost in crypto and they told me that I need to pay taxes based on my recover y founds,Submitted by Anonymous,4 days ago,"Reported Address, THORChain (ERC20), 0x65DC10cafBF753d3F0B1Fef7a154B715A6DAA4a0"
Extortion Email scam,Submitted by Anonymous,5 days ago,"Reported Address, 1LxyYESb7jbBoi6pQT5hkxJj6bBDbgUdMN"
Hacker gained access to my email and sent an email to myself with a message saying that they hacked into my computer and got,Submitted by Anonymous,5 days ago,"Reported Address, 14vbTLdJhZA6FW1BAXcrzXtqUbgU7viyFf"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,5 days ago,"Reported Address, 1LxyYESb7jbBoi6pQT5hkxJj6bBDbgUdMN"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,5 days ago,"Reported Address, 1ArXVR3a9WP3FRMS9oKr8gh97Lh9P3xsaD"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,6 days ago,"Reported Address, 1LxyYESb7jbBoi6pQT5hkxJj6bBDbgUdMN"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 129.205.118.242 (No abuse address found in whois databases)",Submitted by Anonymous,6 days ago,"Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Oct 3, 2025","Reported Address, 1LxyYESb7jbBoi6pQT5hkxJj6bBDbgUdMN"
