"ransom_group","file_name","file_link"
"3am","RECOVER-FILES.txt","https://www.ransomware.live/ransomnote/3am/RECOVER-FILES.txt"
"8base","8base_note.hta","https://www.ransomware.live/ransomnote/8base/8base_note.hta"
"Abysslocker","WhatHappened.txt","https://www.ransomware.live/ransomnote/abysslocker/WhatHappened.txt"
"Ailock","ReadMe[1].txt","https://www.ransomware.live/ransomnote/ailock/ReadMe%5B1%5D.txt"
"Akira","akira_readme.txt","https://www.ransomware.live/ransomnote/akira/akira_readme.txt"
"Ako","ako-readme.txt","https://www.ransomware.live/ransomnote/ako/ako-readme.txt"
"Alpha","[id]-Readme.txt","https://www.ransomware.live/ransomnote/alpha/%5Bid%5D-Readme.txt"
"Alphv","alphv1.txt","https://www.ransomware.live/ransomnote/alphv/alphv1.txt"
"Antefrigus","qmtbf-readme.txt","https://www.ransomware.live/ransomnote/antefrigus/qmtbf-readme.txt"
"Arcus","Arcus-ReadMe.txt","https://www.ransomware.live/ransomnote/arcus/Arcus-ReadMe.txt"
"Atomsilo","atomsilo.hta","https://www.ransomware.live/ransomnote/atomsilo/atomsilo.hta"
"Avaddon","avaddon.txt","https://www.ransomware.live/ransomnote/avaddon/avaddon.txt"
"Avoslocker","avoslocker.txt","https://www.ransomware.live/ransomnote/avoslocker/avoslocker.txt"
"Azov","RESTORE_FILES.txt","https://www.ransomware.live/ransomnote/azov/RESTORE_FILES.txt"
"Babuk2","README.txt","https://www.ransomware.live/ransomnote/Babuk2/README.txt"
"Beast","readme.txt","https://www.ransomware.live/ransomnote/beast/readme.txt"
"Bert","note.txt","https://www.ransomware.live/ransomnote/bert/note.txt"
"Bianlian","Look at this instruction.txt","https://www.ransomware.live/ransomnote/bianlian/Look%20at%20this%20instruction.txt"
"Biglock","biglock.txt","https://www.ransomware.live/ransomnote/biglock/biglock.txt"
"Bitpaymer","bitpaymer_v1.txt","https://www.ransomware.live/ransomnote/bitpaymer/bitpaymer_v1.txt"
"Bitransomware","bitransomware.txt","https://www.ransomware.live/ransomnote/bitransomware/bitransomware.txt"
"Blackbasta","blackbasta1.txt","https://www.ransomware.live/ransomnote/blackbasta/blackbasta1.txt"
"Blackbyte","BB_Readme.txt","https://www.ransomware.live/ransomnote/blackbyte/BB_Readme.txt"
"Blackhunt","#BlackHunt_ReadMe.html","https://www.ransomware.live/ransomnote/blackhunt/%23BlackHunt_ReadMe.html"
"Blacklock","HOW_RETURN_YOUR_DATA.TXT","https://www.ransomware.live/ransomnote/blacklock/HOW_RETURN_YOUR_DATA.TXT"
"Blackmatter","blackmatter.txt","https://www.ransomware.live/ransomnote/blackmatter/blackmatter.txt"
"Blacksnake","UNLOCK_MY_FILES.txt","https://www.ransomware.live/ransomnote/blacksnake/UNLOCK_MY_FILES.txt"
"Blacksuit","README.BlackSuit.txt","https://www.ransomware.live/ransomnote/blacksuit/README.BlackSuit.txt"
"Bluelocker","restore_file.txt","https://www.ransomware.live/ransomnote/bluelocker/restore_file.txt"
"Bluesky","bluesky.txt","https://www.ransomware.live/ransomnote/bluesky/bluesky.txt"
"Braincipher","[id].README.txt","https://www.ransomware.live/ransomnote/braincipher/%5Bid%5D.README.txt"
"Bytesfromheaven","[key]_Link.txt","https://www.ransomware.live/ransomnote/bytesfromheaven/%5Bkey%5D_Link.txt"
"Cactus","cAcTuS.readme.txt","https://www.ransomware.live/ransomnote/cactus/cAcTuS.readme.txt"
"Cartel","cartel.txt","https://www.ransomware.live/ransomnote/cartel/cartel.txt"
"Cerber","_READ_THIS_FILE_HBE8_.txt","https://www.ransomware.live/ransomnote/cerber/_READ_THIS_FILE_HBE8_.txt"
"Chilelocker","readme_for_unlock.txt","https://www.ransomware.live/ransomnote/chilelocker/readme_for_unlock.txt"
