ransom_group,file_name,file_link,content
3am,RECOVER-FILES.txt,https://www.ransomware.live/ransomnote/3am/RECOVER-FILES.txt,".,,,.    
                                  .,,,**,,,,,*,*    
                               **,****,,.*,,,,,,,,,,   
                            **,,,,,***,..,***,,,,,,,,,, 
                          ..,*,,,,,***, ,,**,,,,,,,,,,,,.   
                          ,,,****,*,,.. ......,,*,,,,,,,,,  
                         *,,,,***,,,,        .,*,,,,,,,,,,, 
                      .,,,,,,.                     ,,, .,,,,   
                    .*,,*.                           .,,  .,   
                   ,*,                                 .,,     
                  ,,,        *.    .*,     **.   .(      .,,   
                  ,,,          #..#.        ..#,/,         ,,  
                  ,,           .#(,          .%,,#.        ,,. 
                 ,,.          %    *,..   ..%      #        *, 
                  ,,                                         ,, 
                  ,, .         (,      .   ..    .%,      .  ,, 
                  .,  . ,       *(*,/  . *   .(**(,       ,  ,  
                   ,  . ,        #/. (,*(,,..*#.        , .,   
                    ..  .,,          ,/(#/*            . ,  .   
                 .,.  .   ..            /              ,.   .,, 
             *,,**,,**   .   .,                      ,.*  .,,,,,,. 
         ,,,,,,***,,,**,,  ,   ..                  , .  ,,,,,,,,,,,,, 
       ,**,,,,****,,,,,**,,,      .             .     ,,,,,,  ,,,,,,,,,,,.   
       ,,,,*,,,,*,*,**,,,,****,**,.                 *,,,.    ,,,,,,.,,,,.,,,.   
    .  ,,,, ,,,,,,***,,,,,*.*,,                   ,.        .,,       ,,,.,,,   
    ,  ,,,. ,*,,*,,,,,,,,,,,,.*                 .          .        ,,.    .,,  
    , .,,. .,*,     .,.,*   ,,,                                             ,.  
    .,,,,.            ,, ,.                                               .     
  ,,,.   ..             ,                                                        
                          ,                                            .,        

Hello. ""3 am"" The time of mysticism, isn't it?

All your files are mysteriously encrypted, and the systems ""show no signs of life"", the backups disappeared. But we can correct this very quickly and return all your files and operation of the systems to original state.

All your attempts to restore data by himself will definitely lead to their damage and the impossibility of recovery. We are not recommended to you to do it on our own!!! (or do at your own peril and risk).


There is another important point: we stole a fairly large amount of sensitive data from your local network: financial documents; personal information of your employees, customers, partners; work documentation, postal correspondence and much more.

We prefer to keep it secret, we have no goal to destroy your business. Therefore can be no leakage on our part.

We propose to reach an agreement and conclude a deal.


Otherwise, your data will be sold to darknet. One can only guess how they will be used.

Please contact us as soon as possible, using Tor-browser:
http://threeam7fj33rv5twe5ll7gcrp3kkyyt6ez5stssixnuwh4v3csxdwqd.onion/recovery

Access key:
[snip]"
Abysslocker,WhatHappened.txt,https://www.ransomware.live/ransomnote/abysslocker/WhatHappened.txt,"We are the Abyss.

Your company Servers are crypted and your data has been stolen to our servers.


Good news for you:

   1) We can restore your entire system.
   2) We are not interested in publishing your information.
   3) Our motivation is purely financial.
   4) We are open to negotiations.
   5) We are ready to maintain complete confidentiality of this incident.

Let's explain the further steps in the situation:

    You can seek help from authorities - unfortunately, this path will not lead to a constructive resolution of the situation. 
        They will not assist you with decryption, seize your servers for OPsec, and your company's operations will be halted.
        Subsequently, the date will be disclosed, leading to fines, legal actions, and reputational damage.
    OR
    You initiate negotiations with us, and we reach a mutually beneficial and constructive solution for both parties.
        You pay a specified amount and receive the full decryption, support throughout the decryption process, 
        proofs that all information on our servers has been deleted, and a guarantee that it will never resurface, 
        ensuring no one learns about this incident.

To initiate negotiations, please download the Tor Browser using their official website: https://www.torproject.org/
use these credentials to enter the Chat for text negotiation: http://jqlcrn2fsfvxlngdq53rqyrwtwfrulup74xyle54bsvo3l2kgpeeijid.onion/[snip]
There will be no bad news for your company after successful negotiations for both sides. But there will be plenty of those bad news if case of failed negotiations, so don’t think about how to avoid it.
Just focus on negotiations, payment and decryption to make all of your problems solved by our specialists within 1 day after payment received: servers and data restored, everything will work good as new."
Ailock,ReadMe[1].txt,https://www.ransomware.live/ransomnote/ailock/ReadMe%5B1%5D.txt,"Hello, 

The key data points of your network has been compromised, and all of your company's critical data has been transferred to our secure systems. 

Positive News:

- We are capable of fully restoring your systems and data.
- If we come to an agreement, this incident will remain confidential between your organization and our team. 
- Our motivation is purely financial, and we do not align with any specific country or political ideology

Terms and Conditions: 

1) You must contact us within 72 hours; otherwise, we will publish an announcement  about the leak of your data.
2) You have 5 days to reach an agreement; If you fail to do so, your data will be published and the recovery tool destroyed.

To initiate the negotiation process, please proceed with the following steps:

1) Download the Tor Browser from it's official website: https://www.torproject.org/
2) Use the provided credentials to log into the Chat for text-based negotiations: http://[snip]qs6wu56n2adj7qrjg25dhcux2nislvjouffpzldj23e4y72akoid.onion/[snip]

We all understand what happened and what consequences await you.

All countries have their own PDPL (Personal Data Protection Law) regulations. 
In the event that you do not agree with us, information pertaining to your companies and the data of your company's customers will be published on the internet, and the respective country's personal data usage authority will be informed. 
Moreover, confidential data related to your company will be shared with potential competitors through email and social media. 
You can be sure that you will incur damages far exceeding the amount we are requesting from you should you decide not to agree with us.

What we offer in exchange for your payment:
  - Full decryption and restoration of systems and data following an incident, completed within 24 hours.
  - We guarantee that all recovered data will remain confidential and that all of your leaked data will be securely deleted from our servers after resolving the incident. We will provide a full deletion log.
  - Expert advice tailored to strengthen your company's IT infrastructure against future threats.

Useful tips that will help you :
	1) Do not try to recover files yourself.
	2) Do not modify encrypted files.
	3) Do not use third party software to restore your data."
Akira,akira_readme.txt,https://www.ransomware.live/ransomnote/akira/akira_readme.txt,"Hi friends,



Whatever who you are and what your title is if you're reading this it means the internal infrastructure of your company is fully or partially dead, all your backups - virtual, physical - everything that we managed to reach - are completely removed. Moreover, we have taken a great amount of your corporate data prior to encryption.



Well, for now let's keep all the tears and resentment to ourselves and try to build a constructive dialogue. We're fully aware of what damage we caused by locking your internal sources. At the moment, you have to know:



1. Dealing with us you will save A LOT due to we are not interested in ruining your financially. We will study in depth your finance, bank & income statements, your savings, investments etc. and present our reasonable demand to you. If you have an active cyber insurance, let us know and we will guide you how to properly use it. Also, dragging out the negotiation process will lead to failing of a deal.

2. Paying us you save your TIME, MONEY, EFFORTS and be back on track within 24 hours approximately. Our decryptor works properly on any files or systems, so you will be able to check it by requesting a test decryption service from the beginning of our conversation. If you decide to recover on your own, keep in mind that you can permanently lose access to some files or accidently corrupt them - in this case we won't be able to help.

3. The security report or the exclusive first-hand information that you will receive upon reaching an agreement is of a great value, since NO full audit of your network will show you the vulnerabilities that we've managed to detect and used in order to get into, identify backup solutions and upload your data.

4. As for your data, if we fail to agree, we will try to sell personal information/trade secrets/databases/source codes - generally speaking, everything that has a value on the darkmarket - to multiple threat actors at ones. Then all of this will be published in our blog - https://akiral2iz6a7qgd3ayp3l6yub7xx2uep76idk3u2kollpj5z3z636bad.onion.

5. We're more than negotiable and will definitely find the way to settle this quickly and reach an agreement which will satisfy both of us.



If you're indeed interested in our assistance and the services we provide you can reach out to us following simple instructions:



1. Install TOR Browser to get access to our chat room - https://www.torproject.org/download/.

2. Paste this link - https://akiralkzxzq2dsrzsrvbr2xgbbu2wgsmxryd4csgfameg52n7efvr2id.onion.

3. Use this code - [snip] - to log into our chat.



Keep in mind that the faster you will get in touch, the less damage we cause."
Ako,ako-readme.txt,https://www.ransomware.live/ransomnote/ako/ako-readme.txt,"--- We apologize! ---
Your network have been locked.

------------------------------
| Whats happened?
------------------------------

All your files, documents, photos, databases and other important data are encrypted and have the extension: .jD4955

Backups and shadow copies also encrypted or removed. Any third-party software may damage encrypted data but not recover.
From this moment, it will be impossible to use files until they are decrypted.

The only method of recovering files is to purchase an unique private key.
Only we can give you this key and only we can recovery your files.

------------------------------
| Guarantees?
------------------------------

As you read above, files can be decrypted only using our private key and a special program.
The only guarantees we can give are decryption of your any file.
So you can decrypt any file from your system for free on our website.
We guarantee that you can recovery all your files. But you have not so enough time.

------------------------------
| How to recovery my files?
------------------------------

To get info (decrypt your files) you have 1 way:

1) [Recommended] via Tor Browser:
  a) Download and install Tor Browser: https://www.torproject.org/download/
  b) Open our website in TOR: http://kwvhrdibgmmpkhkidrby4mccwqpds5za6uo2thcw5gz75qncv7rbhyad.onion/[snip]

When you open our website, put the following key in the input form: 

[snip]

!! ATTENTION !!
!! Any third - party software may damage encrypted data but not recover. !!
!! DO NOT MODIFY ENCRYPTED FILES !!
!! DO NOT CHANGE YOUR ID !!
!! DO NOT REMOVE YOUR ID.KEY FILE !!"
Alpha,[id]-Readme.txt,https://www.ransomware.live/ransomnote/alpha/%5Bid%5D-Readme.txt,"-=-=-=- Alpha ransomware -=-=-=-
   -=- Visit our blog: mydatae2d63il5oaxxangwnid5loq2qmtsol2ozr6vtb7yfm5ypzo6id.onion/blog -=-

-=- Your data have been stolen and encrypted -=-
-=- You won't be able to decrypt them without our help -=-
-=- Dont try to RECOVER, DELETE or MODIFY any files, this will make it impossible to restore -=-
-=- We will help you in restoring your system, also decrypt several files for free -=-

-=- Contact us for price and get decryption software -=-
Note that this server is available via Tor browser only Follow the instructions to open the link:
mydatae2d63il5oaxxangwnid5loq2qmtsol2ozr6vtb7yfm5ypzo6id.onion
1. Type the address ""https://www.torproject.org"" in your Internet browser. It opens the Tor site.  
2. Press ""Download Tor"", then press ""Download Tor Browser"", install and run it.
3. Now you have Tor browser. In the Tor Browser open mydatae2d63il5oaxxangwnid5loq2qmtsol2ozr6vtb7yfm5ypzo6id.onion
4. Copy your personal decryption key and paste it in the window that appears, enter the captcha and click the button submit.
5. Start a chat and follow the further instructions.

-----------------
Your personal decryption key:
[snip]"
Alphv,alphv1.txt,https://www.ransomware.live/ransomnote/alphv/alphv1.txt,"Hello, [snip]

>> What happened?

Important files on your network was ENCRYPTED and now they have ""${EXTENSION}"" extension.
In order to recover your files you need to follow instructions below.

>> Sensitive Data

Sensitive data on your network was DOWNLOADED.
If you DON'T WANT your sensitive data to be PUBLISHED you have to act quickly.

Data includes:
- MICROS DATABASE, Accounting, Drawings
- Check Copies, Engineering, HR, Banking Information
- Payroll Scan, Sales and Marketing, Financia
- And more...

>> CAUTION

DO NOT MODIFY ENCRYPTED FILES YOURSELF.
DO NOT USE THIRD PARTY SOFTWARE TO RESTORE YOUR DATA.
YOU MAY DAMAGE YOUR FILES, IT WILL RESULT IN PERMANENT DATA LOSS.

>> What should I do next?

1) Download and install Tor Browser from: https://torproject.org/
2) Navigate to: http://d75itpgjjfe2ys2qivqplbvmw3yyx7o5e4ppt2esit2lluhngulz4hqd.onion/?access-key=[snip]"
Avaddon,avaddon.txt,https://www.ransomware.live/ransomnote/avaddon/avaddon.txt,"-------===    Your network has been infected!    ===-------
 
 
*****************    DO NOT DELETE THIS FILE UNTIL ALL YOUR DATA HAVE BEEN RECOVERED    *****************
 
 
All your documents, photos, databases and other important files have been encrypted and have the extension: {{ext}}
 
You are not able to decrypt it by yourself. But don't worry, we can help you to restore all your files!
 
The only way to restore your files is to buy our special software. Only we can give you this software and only we can restore your files!
 
We have also downloaded a lot of private data from your network.
If you do not contact as in a 3 days we will post information about your breach on our public news website (avaddongun7rngel.onion) and after 7 days the whole downloaded info.
 
You can get more information on our page, which is located in a Tor hidden network.
 
 
How to get to our page
--------------------------------------------------------------------------------
|
|  1. Download Tor browser - https://www.torproject.org/
|
|  2. Install Tor browser
|
|  3. Open link in Tor browser - avaddonbotrxmuyl.onion
|
|  4. Follow the instructions on this page
|
--------------------------------------------------------------------------------
 
Your ID:
--------------------------------------------------------------------------------
 
{{id}}
 
--------------------------------------------------------------------------------
 
* DO NOT TRY TO RECOVER FILES YOURSELF!
 
* DO NOT MODIFY ENCRYPTED FILES!
 
* * * OTHERWISE, YOU MAY LOSE ALL YOUR FILES FOREVER! * * *"
Avoslocker,avoslocker.txt,https://www.ransomware.live/ransomnote/avoslocker/avoslocker.txt,"Attention!
Your files have been encrypted.
We highly suggest not shutting down your computer in case encryption process is not finished, as your files may get corrupted.
In order to decrypt your files, you must pay for the decryption key & application.
You may do so by visiting us at http://avosjon4pfh3y7ew3jdwz6ofw7lljcxlbk7hcxxmnxlh5kvf2akcqjad.onion.
This is an onion address that you may access using Tor Browser which you may download at https://www.torproject.org/download/
Details such as pricing, how long before the price increases and such will be available to you once you enter your ID presented to you below in this note in our website.
Contact us soon, because those who don't have their data leaked in our press release blog and the price they'll have to pay will go up significantly.
The corporations whom don't pay or fail to respond in a swift manner can be found in our blog, accessible at http://avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad.onion



Your ID: [snip]"
Babuk2,README.txt,https://www.ransomware.live/ransomnote/Babuk2/README.txt,"All of your files have been encrypted! ( By Babuk Locker )

Your computer was infected with a ransomware virus. Your files have been encrypted and you won't be able to decrypt them without our help. What can I do to get my files back? You can buy our special Decryption Software, this Software will allow you to recover all of your data and remove the ransomware from your computer.

To buy Decryption Software write to us Tox or email!

email: babuklockerofficial@onionmail.org
------------------------------------------------
Download Session                                            
https://getsession.org/download                                                      
Session ID: 051a6a26dcc1687da6c216fe69cd46cf49931c66484898e4d613eb08466f6be25d                                                        ------------------------------------------------                                     
Download Tox
https://tox.chat/download.html
Tox ID Support: 
022A7EEB83B648F55DA7A6BEFD130C2156C74F3501A31D853234EC2D18E77A1E5BEC7F602011
------------------------------------------------
Group Telegram Affiliation :
https://t.me/+K4bO49DCiI9lMTBl
------------------------------------------------
Affiliate Channels Telegram :
https://t.me/+kKRPXvOJcdY4NGI1
------------------------------------------------
Babuk Locker 2.0 Official Channel Telegram :
https://t.me/y4wLPNEEagVjNDI1
------------------------------------------------
Operator Babuk (Telegram):
@OfficialBabukLocker
------------------------------------------------
-----BEGIN PGP PUBLIC KEY BLOCK-----
xsBNBGenNbgBCAC0K/EWd8wBkFEckEbDT6Fb5bVYdVFrpMo7xMyBMAkAFpTp
ebqFQlmYRMDDcvLCr+XlIyUCf+gOe/+YBdDhvcrLVFBD81q14TUXjVKa5YTR
WPdCa7glWJBPbJskYya1vMcn1DZMX4oqgZ02sVJVIH54maVDcDvpHIcLbSAz
5Hq5ITo+lL/iJalhh3hC0xzwRByLEi1/aUYcPo0xWJWRRnPHbUjAImqyDYQv
ova1a6rUK9A08y7Rn/IKUKthfzoMYBSjF166wH1TCseeHjCB1x9d60Dmhwpe
z7ysiZpkZkvDE7B+UL1DFALZEpyuWW/U6wXMoItSRDtv6Dxpgm8MlK+xABEB
AAHNL0JhYnVrTG9ja2VyIDxiYWJ1a2xvY2tlcm9mZmljaWFsQG9uaW9ubWFp
bC5vcmc+wsCNBBABCAAgBQJnpzW4BgsJBwgDAgQVCAoCBBYCAQACGQECGwMC
HgEAIQkQYKkhEx1FdnAWIQQD0LHuqlWycDk8hUFgqSETHUV2cPVuCACFiBFV
N/I7Rd0bAb5FNrGHcRupm+K7syfs7umaQuEIx2mtghVWyr6hlev0oCNjRM3t
vaYc/Cwyitg/H/jRhdiVoOCsvbKeIY4LdZPHfDj/EiYFp9SIUihh8SpdD+wL
IRVtw5RNu9jRbw4x7KO3bJRw9VVh75Orsh3uPlFvxfCHii9D/FA1unpSC5zg
W8eBGo0HgvuPoiHHfMe3TE/e8napNcMl9YgCvdSce/XGoF5560+pp1t6UfLy
qYqFp4sU245ZyOfz1MajdRssqI+rlej5pGsEyOK0GHF/ph+LMultJNNa4KO1
avysleMvLV3JtjpfJpYJU2f5ITzq2NeQwPEazsBNBGenNbgBCADNe3MsZ9V+
53XpyrXaYii/G89QffzFzzt6OyJ8CFO2JTB2AHc1r8qZLB6A0Oftm+hW7h9n
AVZu3SN0YRPxvqRoP2Dt8/tVN8Vx+tYrzpGKh8HVwYIXPEjSllHp/WCEkdGk
qgvdoKcVTdanie+sItxncwuJyo+wZof300X5vT/7/En6PFZrn8ig4ZWdzWD4
AhAQffTxGsUf6lUDVD1sQyeY7weD8M/cy7wNYnp6ypWySt4HaPBtITI0idB0
gvl2dacGWYSbkjOhvmfyk8o5q9JkwOIA5NFt7JYVFdEGtpLm80tStosInph5
BaGOyGkpO4ciXyrXDnB4IYfrab/9dpVlABEBAAHCwHYEGAEIAAkFAmenNbgC
GwwAIQkQYKkhEx1FdnAWIQQD0LHuqlWycDk8hUFgqSETHUV2cDUeB/43jxIG
K+yMqxiAuDdrFRqFxTs184T/zr1BAGtdvF8mvMrSNG9/ELtaOypkNe3QRn8q
5XBkxzXMqRMTIx11hU7yuqw6aU0/gr6faWPaeav/r7FXjyM3G3V+n7SGuteU
mrB5UZZe/4X4BiuC1hA9L2YN/nLP9JhO65rDJzc5wDuH8yWXh1A/EzGsi6nJ
Yq3sVF4OAxsZqaRv9Wk9jrzv5bmpI+yua5eByYa2SqN1+sjb/DIJCY8VdNt4
4TWnSZjcqs8YH1ScYE2mziVTYqExCF0DqpPiQF2lvyXj8ZfXW+gGnkvvsY2u
3sjWqvGbqr7bIKsLuvlhsd5VU9kAPmTB30N2
=Mocj
-----END PGP PUBLIC KEY BLOCK-----"
